"milieu","taille","pauvre","sexecm","agecm","diplômcm","cmanalphabe","cmalphabe","cm_prim","cm_coll","cm_secon","cm_univ","occup_cm","emcm","cscm","typlog","nbpiece","stocp","deptot","region","coeffmen","ident","trmo","deppc"
1,1,2,1,34,NA,0,0,0,0,0,1,0,0,0,1,2,3,20084,1,2798.89990234375,101,0,20084
1,4,2,1,35,NA,0,0,0,1,0,0,1,1,1,1,3,3,33899,1,2798.89990234375,102,26,8474.75
1,7,2,1,38,1110,1,0,0,0,0,0,1,1,0,3,2,7,14631,1,1216.80004882812,103,0,2090.14282226562
1,5,2,1,46,NA,0,0,0,1,0,0,1,1,1,1,3,3,33825,1,1216.80004882812,104,0,6765
1,4,2,1,58,NA,0,0,0,0,0,1,1,1,1,3,3,3,45590,1,1417,105,2405,11397.5
1,6,2,1,49,NA,0,1,0,0,0,0,1,1,0,3,4,1,39224,1,1417,106,780,6537.33349609375
1,3,2,1,80,NA,1,0,0,0,0,0,0,0,0,3,2,1,24415,1,1417,107,23400,8138.33349609375
1,7,2,1,80,NA,1,0,0,0,0,0,0,1,0,3,4,1,28130,1,1216.80004882812,108,1300,4018.57153320312
1,9,2,1,51,5729,0,1,0,0,0,0,1,1,0,3,4,1,55900,1,1417,109,8580,6211.111328125
1,4,2,0,37,NA,1,0,0,0,0,0,1,1,1,3,2,1,56207,1,1417,110,3900,14051.75
1,3,2,1,41,1120,0,1,0,0,0,0,1,1,0,3,2,1,11855,1,1216.80004882812,111,0,3951.66674804688
1,7,2,1,69,NA,1,0,0,0,0,0,0,1,0,3,4,1,28247,1,1216.80004882812,112,0,4035.28564453125
1,4,2,0,54,1110,1,0,0,0,0,0,1,0,0,3,3,1,53133,1,1036.09997558594,113,1300,13283.25
1,7,2,1,40,NA,0,0,1,0,0,0,1,1,0,3,3,1,71358,1,1216.80004882812,114,10400,10194
1,7,2,1,28,NA,0,0,1,0,0,0,1,1,0,3,3,1,59747,1,1384.5,115,52,8535.2861328125
1,12,2,1,54,NA,0,0,1,0,0,0,0,1,0,3,3,3,18741,1,1014,116,78,1561.75
1,11,1,1,68,NA,1,0,0,0,0,0,1,1,1,3,6,1,154212,1,1376.69995117188,117,0,14019.2724609375
1,5,2,1,36,NA,1,0,0,0,0,0,1,1,0,3,2,7,98583,1,1384.5,118,29250,19716.599609375
1,4,1,1,29,NA,1,0,0,0,0,0,1,1,0,3,2,1,44196,1,1189.5,119,48165,11049
1,10,2,1,27,NA,0,0,1,0,0,0,1,1,0,3,4,1,75985,1,1189.5,120,0,7598.5
1,4,2,1,26,NA,1,0,0,0,0,0,1,1,0,5,1,3,39099,1,1384.5,121,3250,9774.75
1,7,2,0,47,NA,1,0,0,0,0,0,0,0,0,3,2,3,67549,1,1376.69995117188,122,3900,9649.857421875
1,2,2,0,39,NA,0,0,0,1,0,0,1,0,0,3,2,1,52027,1,1014,123,0,26013.5
1,6,2,1,36,NA,0,1,0,0,0,0,1,1,1,3,4,1,37000,1,1014,124,26,6166.66650390625
1,6,2,0,56,NA,1,0,0,0,0,0,0,1,0,3,2,1,26831,1,1384.5,125,1950,4471.83349609375
1,8,2,1,55,NA,0,0,1,0,0,0,1,1,1,3,4,1,37798,1,1189.5,126,260,4724.75
1,3,2,1,37,NA,0,0,0,0,1,0,1,0,1,3,2,3,81252,1,1151.80004882812,127,31200,27084
1,7,2,1,54,1122,0,1,0,0,0,0,1,1,0,3,4,1,35315,1,1151.80004882812,128,12636,5045
1,4,2,1,25,1110,0,0,0,0,1,0,1,0,1,3,6,1,35939,1,1661.40002441406,129,0,8984.75
1,3,2,1,29,NA,0,0,0,0,1,0,1,1,1,3,3,7,73133,1,1435.19995117188,130,0,24377.666015625
1,6,2,0,52,NA,1,0,0,0,0,0,0,1,0,3,4,1,85658,1,1435.19995117188,131,0,14276.3330078125
1,9,2,0,59,NA,0,0,1,0,0,0,0,0,0,3,5,1,89259,1,1435.19995117188,132,0,9917.6669921875
1,10,2,1,67,2121,1,0,0,0,0,0,1,1,0,3,6,1,20296,1,1661.40002441406,133,0,2029.59997558594
1,5,2,1,37,1110,0,0,0,0,0,1,1,1,1,3,3,3,68005,1,1661.40002441406,134,78,13601
1,9,2,1,58,NA,1,0,0,0,0,0,1,1,0,3,2,6,27257,1,1435.19995117188,135,975,3028.5556640625
1,6,2,0,56,NA,1,0,0,0,0,0,0,0,0,5,2,3,28479,1,1224.59997558594,136,767,4746.5
1,4,2,1,40,NA,0,0,0,1,0,0,1,1,1,3,2,6,57512,1,1661.40002441406,137,39,14378
1,9,1,1,47,NA,1,0,0,0,0,0,1,1,1,3,2,6,53844,1,1224.59997558594,138,0,5982.66650390625
1,5,2,0,34,NA,1,0,0,0,0,0,1,1,1,3,2,6,53635,1,1670.5,139,130,10727
1,7,2,1,45,NA,0,0,1,0,0,0,1,1,1,3,2,6,57201,1,1167.40002441406,140,650,8171.5712890625
1,8,2,1,44,NA,0,0,1,0,0,0,1,1,0,3,7,1,56453,1,1167.40002441406,141,0,7056.625
1,5,2,1,40,NA,0,0,1,0,0,0,1,1,0,3,3,1,75107,1,1380.59997558594,142,0,15021.400390625
1,4,2,1,59,NA,0,1,0,0,0,0,1,1,0,3,5,1,77946,1,1380.59997558594,143,11.6999998092651,19486.5
1,7,2,1,41,NA,0,0,1,0,0,0,1,1,0,3,8,1,58696,1,1344.19995117188,144,0,8385.142578125
1,2,1,1,47,NA,0,0,1,0,0,0,1,1,0,3,4,1,161630,1,1465.09997558594,145,0,80815
1,11,2,1,43,NA,0,1,0,0,0,0,1,0,0,3,4,1,43302,1,1380.59997558594,146,208,3936.54541015625
1,13,2,1,68,NA,1,0,0,0,0,0,1,1,0,3,6,1,29192,1,1344.19995117188,147,0,2245.53857421875
1,4,2,1,18,NA,0,0,0,0,1,0,0,0,1,3,7,1,57141,1,1344.19995117188,148,0,14285.25
1,9,2,1,67,NA,1,0,0,0,0,0,0,1,0,3,4,1,74013,1,1465.09997558594,149,175.5,8223.6669921875
1,7,2,1,43,1110,0,0,0,0,1,0,1,1,1,3,4,6,26124,1,1380.59997558594,150,0,3732
1,7,2,1,52,NA,1,0,0,0,0,0,1,1,0,3,4,1,65949,1,1167.40002441406,151,260,9421.2861328125
1,7,2,1,34,2110,0,0,0,0,0,1,1,1,1,3,8,7,56669,1,1244.09997558594,152,0,8095.5712890625
1,7,2,1,46,NA,0,0,1,0,0,0,1,1,0,3,2,3,19742,1,1132.30004882812,153,23.3999996185303,2820.28564453125
1,3,2,1,65,NA,1,0,0,0,0,0,1,1,0,3,6,1,200912,1,829.400024414062,154,12525.5,66970.6640625
1,5,2,1,43,NA,1,0,0,0,0,0,1,1,0,3,3,3,42288,1,1125.80004882812,155,468,8457.599609375
1,9,2,1,64,NA,0,1,0,0,0,0,0,1,1,3,6,1,95058,1,829.400024414062,156,260,10562
1,4,2,1,43,NA,0,0,0,1,0,0,1,1,0,3,4,3,64435,1,829.400024414062,157,0,16108.75
1,4,2,1,36,NA,0,0,1,0,0,0,1,1,1,3,2,3,31359,1,972.400024414062,158,0,7839.75
1,5,2,1,22,NA,0,0,0,1,0,0,1,0,0,3,3,1,55508,1,1132.30004882812,159,0,11101.599609375
1,7,2,1,50,NA,0,1,0,0,0,0,1,1,0,3,4,7,33334,1,972.400024414062,160,7800,4762
1,8,2,1,52,NA,1,0,0,0,0,0,1,1,0,3,4,3,39316,1,972.400024414062,161,559,4914.5
1,9,2,0,49,1110,0,0,1,0,0,0,0,1,0,3,3,1,37696,1,972.400024414062,162,0,4188.4443359375
1,17,2,1,60,1120,0,1,0,0,0,0,0,1,0,3,9,1,143483,1,1162.19995117188,163,0,8440.1767578125
1,9,2,1,74,NA,1,0,0,0,0,0,0,1,0,3,5,1,56336,1,989.299987792969,164,0,6259.5556640625
1,4,2,1,54,1110,1,0,0,0,0,0,0,1,0,3,9,1,64943,1,1353.30004882812,165,0,16235.75
1,4,2,1,38,NA,0,0,0,0,1,0,1,1,1,3,3,3,25262,1,989.299987792969,166,65,6315.5
1,8,2,0,37,NA,1,0,0,0,0,0,0,1,0,0,1,1,86918,1,1162.19995117188,167,1950,10864.75
1,2,2,0,40,NA,1,0,0,0,0,0,0,0,0,3,3,1,41859,1,1162.19995117188,168,0,20929.5
1,7,2,1,41,NA,0,0,0,1,0,0,1,1,1,3,2,1,41730,1,1162.19995117188,169,975,5961.4287109375
1,6,1,1,48,NA,0,0,1,0,0,0,1,1,0,3,3,3,44123,1,1344.19995117188,170,0,7353.83349609375
1,10,2,1,59,NA,0,1,0,0,0,0,1,1,0,3,9,1,23598,1,1353.30004882812,171,455,2359.80004882812
1,8,2,1,92,1110,1,0,0,0,0,0,0,1,0,2,4,1,42962,1,1353.30004882812,172,0,5370.25
1,3,2,0,45,NA,1,0,0,0,0,0,0,1,0,3,4,7,37531,1,1344.19995117188,173,0,12510.3330078125
1,3,1,1,56,NA,0,0,1,0,0,0,1,0,1,3,6,1,69575,1,1162.19995117188,174,390,23191.666015625
1,8,2,1,81,NA,0,1,0,0,0,0,0,1,0,3,4,1,64133,1,869.700012207031,175,2288,8016.625
1,4,2,1,35,NA,0,0,1,0,0,0,1,1,0,3,8,1,18047,1,1019.20001220703,176,650,4511.75
1,7,2,1,43,NA,1,0,0,0,0,0,1,1,0,5,5,7,109560,1,1186.90002441406,177,7410,15651.4287109375
1,1,2,1,48,NA,0,0,1,0,0,0,1,1,0,5,5,1,124856,1,1186.90002441406,178,1300,124856
1,5,2,1,68,NA,0,1,0,0,0,0,1,1,0,0,8,1,25495,1,1186.90002441406,179,8060,5099
1,6,2,1,52,NA,0,1,0,0,0,0,1,1,0,5,3,1,33094,1,1186.90002441406,180,910,5515.66650390625
1,9,2,1,58,NA,0,0,1,0,0,0,0,1,0,3,6,1,30092,1,1179.09997558594,181,39,3343.5556640625
1,5,2,1,48,NA,1,0,0,0,0,0,1,1,0,3,3,1,44483,1,869.700012207031,182,1690,8896.599609375
1,2,2,1,65,NA,0,0,1,0,0,0,1,1,0,5,2,7,27714,1,1186.90002441406,183,0,13857
1,4,2,1,41,NA,0,0,1,0,0,0,1,1,0,3,1,7,32445,1,1186.90002441406,184,0,8111.25
1,2,2,1,29,NA,0,0,0,0,1,0,1,0,0,5,4,1,85887,1,1132.30004882812,185,741,42943.5
1,4,2,1,60,NA,0,1,0,0,0,0,1,1,0,3,5,1,52762,1,829.400024414062,186,0,13190.5
1,6,2,1,38,NA,0,0,0,0,1,0,1,1,1,3,4,3,103106,3,1030.90002441406,187,0,17184.333984375
1,6,2,1,47,NA,0,0,0,0,1,0,1,1,1,3,3,3,23364,3,1029.59997558594,188,0,3894
1,5,2,0,36,NA,1,0,0,0,0,0,0,1,1,3,3,1,49435,3,1405.30004882812,189,0,9887
1,5,2,1,56,NA,1,0,0,0,0,0,1,1,0,3,2,1,34941,3,1405.30004882812,190,0,6988.2001953125
1,6,2,1,51,NA,0,0,0,0,1,0,1,1,1,3,3,3,47273,3,1207.69995117188,191,0,7878.83349609375
1,4,2,1,54,NA,0,0,1,0,0,0,1,1,0,3,3,1,29010,3,1396.19995117188,192,0,7252.5
1,2,2,1,31,1129,0,0,1,0,0,0,1,1,0,3,2,1,17903,3,1207.69995117188,193,0,8951.5
1,4,2,1,39,NA,1,0,0,0,0,0,1,1,0,5,1,1,29631,3,1405.30004882812,194,0,7407.75
1,2,2,1,47,1129,1,0,0,0,0,0,0,1,0,2,2,7,12224,3,1405.30004882812,195,0,6112
1,4,2,1,28,NA,0,0,1,0,0,0,1,1,0,3,2,1,28819,3,1029.59997558594,196,0,7204.75
1,11,1,1,40,NA,1,0,0,0,0,0,1,1,0,3,5,1,106789,3,1029.59997558594,197,0,9708.0908203125
1,9,2,1,57,1110,1,0,0,0,0,0,1,1,0,3,3,1,36175,3,1207.69995117188,198,0,4019.4443359375
1,4,2,0,26,NA,0,0,0,1,0,0,0,1,1,5,2,7,35913,3,1021.79998779297,199,91,8978.25
1,6,2,1,33,NA,1,0,0,0,0,0,1,1,0,3,3,7,104128,3,1177.80004882812,200,0,17354.666015625
1,1,2,1,26,NA,1,0,0,0,0,0,1,0,0,3,3,7,44873,3,1021.79998779297,201,0,44873
1,6,2,1,39,NA,1,0,0,0,0,0,1,1,0,3,1,1,83400,3,993.200012207031,202,0,13900
1,2,2,0,26,NA,1,0,0,0,0,0,0,1,0,3,2,1,72886,3,1055.59997558594,203,0,36443
1,4,2,1,39,NA,1,0,0,0,0,0,1,1,0,3,4,1,22251,3,967.200012207031,204,0,5562.75
1,7,2,0,26,NA,0,0,1,0,0,0,0,0,0,3,2,3,28260,3,841.099975585938,205,0,4037.14282226562
1,5,2,1,44,NA,1,0,0,0,0,0,1,1,0,3,4,1,34899,3,967.200012207031,206,0,6979.7998046875
1,6,2,0,48,NA,1,0,0,0,0,0,0,1,0,3,3,1,37428,3,841.099975585938,207,0,6238
1,10,2,1,74,NA,1,0,0,0,0,0,0,1,0,3,7,1,36877,3,967.200012207031,208,0,3687.69995117188
1,7,2,1,66,NA,1,0,0,0,0,0,0,1,0,3,4,1,25482,3,841.099975585938,209,0,3640.28564453125
1,5,2,1,51,NA,0,1,0,0,0,0,1,1,0,2,2,1,42957,3,993.200012207031,210,0,8591.400390625
1,5,2,1,46,NA,0,0,0,0,1,0,1,1,0,3,3,3,15536,3,1241.5,211,130,3107.19995117188
1,10,1,1,65,NA,1,0,0,0,0,0,0,1,0,3,6,1,58372,3,1050.40002441406,212,0,5837.2001953125
1,7,2,0,56,NA,1,0,0,0,0,0,0,0,0,3,3,1,67523,3,682.5,213,0,9646.142578125
